issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,red_ball_6,blue_ball_1,sales_amount,jackpot_amount
22135,143,9,11,13,24,28,32,6,6964835,
22134,90,1,5,14,17,24,31,14,7386723,
22133,241,5,8,16,17,21,25,12,7308534,
22132,88,1,3,18,26,32,33,4,10000000,
22131,251,3,5,10,13,19,29,6,5876981,
22130,542,2,8,15,17,26,28,12,5228012,
22129,102,10,12,14,22,24,27,7,7828409,
22128,210,3,12,18,24,27,29,1,7471238,
22127,178,3,4,9,10,29,33,13,10000000,
22126,151,1,13,15,17,26,33,13,9507372,
22125,231,2,3,7,12,20,31,16,7965155,
22124,124,5,10,13,18,24,26,1,10000000,
22123,637,10,13,16,20,21,25,5,7557633,
22122,214,6,8,17,19,24,28,5,5519812,
22121,102,12,17,22,27,30,31,2,8069743,
22120,288,2,15,19,26,27,29,2,5486128,
22119,309,2,5,15,18,26,27,4,6494901,
22118,173,2,6,7,11,14,33,8,7499223,
22117,166,4,13,17,18,28,29,6,6083031,
22116,93,8,14,26,27,30,33,1,10000000,
22115,169,6,7,18,20,27,29,9,5308918,
22114,241,1,5,15,19,26,29,13,6667026,
22113,84,13,14,20,24,27,29,2,10000000,
22112,169,3,5,8,17,25,31,1,9412037,
22111,160,2,10,11,13,28,31,1,10000000,
22110,237,9,13,15,18,20,28,15,8127543,
22109,78,4,11,13,19,22,33,11,8345394,
22108,269,1,7,13,17,18,31,15,6708669,
22107,139,3,9,11,15,19,28,16,6545730,
22106,50,17,20,22,23,24,31,1,10000000,
22105,85,6,12,13,15,21,23,15,10000000,
22104,214,1,8,19,25,26,31,1,5821410,
22103,146,6,9,12,14,20,28,10,6266348,
22102,137,9,10,12,18,29,32,14,8618279,
22101,134,4,16,18,19,27,28,4,5458579,
22100,106,2,6,7,15,20,21,15,6875089,
22099,256,1,11,23,24,26,32,15,7480623,
22098,34,2,3,4,6,21,33,5,6203690,
22097,65,4,5,10,13,30,31,14,10000000,
22096,94,3,16,17,19,25,33,7,5337053,
22095,71,4,13,14,18,20,28,8,7040114,
22094,186,6,11,13,16,19,31,2,10000000,
22093,58,21,22,24,28,29,32,14,10000000,
22092,245,7,10,16,20,21,27,11,5805294,
22091,244,8,18,20,22,24,28,10,6721485,
22090,98,1,4,25,27,29,30,7,5764881,
22089,90,2,7,15,29,31,33,15,10000000,
22088,168,3,9,15,17,20,22,6,5577161,
22087,129,5,6,9,13,23,25,8,6065849,
22086,61,1,4,8,21,23,24,11,7234563,
22085,112,7,9,14,31,32,33,13,6387330,
22084,97,3,18,23,24,25,32,9,7928087,
22083,258,8,12,13,14,19,20,5,6173323,
22082,79,4,10,11,23,30,32,14,10000000,
22081,186,4,8,11,21,27,30,1,9188488,
22080,129,5,12,15,17,18,27,4,6967330,
22079,68,1,9,15,17,22,23,16,10000000,
22078,69,1,4,5,15,17,31,9,7387658,
22077,186,3,17,18,19,20,27,16,6273517,
22076,142,8,9,10,13,24,29,2,6399054,
22075,78,1,2,4,25,26,30,10,7912531,
22074,131,5,7,15,19,29,33,15,8413181,
22073,141,6,10,14,15,26,29,12,8211585,
22072,95,5,14,15,16,18,32,12,7505272,
22071,141,4,7,15,18,29,33,1,7659663,
22070,226,4,6,9,27,28,33,2,7137010,
22069,216,6,7,13,19,26,29,8,5516327,
22068,170,7,12,15,24,26,29,6,7414434,
22067,147,1,5,13,21,26,29,15,6787147,
22066,281,6,11,14,20,27,30,9,5152928,
22065,143,9,14,18,23,28,31,2,9202821,
22064,81,4,6,12,13,17,31,16,6498426,
22063,181,6,8,9,17,22,31,11,5417818,
22062,69,16,18,20,21,23,33,5,8563331,
22061,64,1,3,16,18,29,33,6,10000000,
22060,80,16,18,19,24,28,32,1,10000000,
22059,216,6,9,18,19,29,33,6,5714126,
22058,126,6,13,14,23,31,33,1,6841671,
22057,78,12,15,20,26,30,33,16,10000000,
22056,162,1,6,11,14,17,26,15,8799261,
22055,77,2,4,9,26,28,33,3,9562440,
22054,92,8,12,21,27,28,33,11,5000000,
22053,81,10,14,18,23,27,33,15,10000000,
22052,61,7,24,27,29,31,32,15,10000000,
22051,114,2,5,11,17,21,33,1,9343551,
22050,141,3,5,8,14,27,33,8,6080345,
22049,127,2,4,7,18,25,26,10,0,
22048,180,5,7,17,20,26,31,14,10000000,
22047,128,3,7,8,14,27,30,9,5625122,
22046,132,2,11,24,25,27,30,14,7489274,
22045,182,3,12,17,18,19,28,4,7472273,
22044,123,1,7,8,21,23,29,6,6476085,
22043,54,2,17,20,23,25,27,8,6718875,
22042,175,5,10,11,21,22,30,13,7059021,
22041,57,5,7,21,22,24,29,14,10000000,
22040,119,3,12,14,16,31,33,12,5830283,
22039,177,2,6,7,10,15,20,5,9112790,
22038,67,9,12,13,16,24,32,4,8932134,
22037,74,1,10,13,20,22,32,14,10000000,
22036,110,2,3,14,16,26,31,2,8039081,
22035,169,8,12,13,19,23,25,15,7126487,
22034,49,14,17,26,31,32,33,10,7033420,
22033,192,5,12,19,22,25,26,5,6853773,
22032,54,4,10,11,14,23,32,7,8228322,
22031,296,1,10,11,22,26,32,7,5507246,
22030,55,12,23,24,26,27,30,5,5942310,
22029,105,3,8,10,13,26,32,8,6314985,
22028,330,5,11,20,22,23,29,9,6991710,
22027,74,14,15,18,19,26,32,9,10000000,
22026,129,3,4,10,15,22,24,2,7519808,
22025,98,6,19,24,25,28,32,4,10000000,
22024,154,7,9,10,14,19,24,15,10000000,
22023,98,7,12,17,19,24,25,2,7444170,
22022,162,1,7,11,15,17,19,6,6751389,
22021,74,3,7,22,24,26,31,14,6650843,
22020,52,9,11,14,22,30,32,1,10000000,
22019,123,5,6,14,20,21,25,8,6113016,
22018,178,7,11,16,17,30,32,16,10000000,
22017,162,6,9,24,29,30,32,7,8716688,
22016,336,5,10,19,20,29,31,14,6190322,
22015,95,6,14,16,27,28,31,7,6685876,
22014,469,6,7,13,14,15,27,4,7794467,
22013,133,2,3,4,7,10,18,15,10000000,
22012,193,4,7,8,29,30,31,1,7305724,
22011,125,6,15,23,24,25,33,15,10000000,
22010,139,12,18,19,20,21,32,15,7878499,
22009,266,4,15,17,19,25,28,16,10000000,
22008,132,2,3,7,9,20,21,13,10000000,
22007,81,1,20,22,23,25,28,16,10000000,
