issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
24033,"155,489",4,8,10,11,15,7,9,93,921716263
24032,"196,472",5,15,26,33,35,1,9,84,891308931
24031,"315,168",9,12,15,30,34,5,6,63,863917071
24030,"76,092",8,9,11,19,30,6,12,173,802701826
24029,"135,996",4,19,24,28,34,4,5,108,815798946
24028,"114,840",13,18,20,26,28,4,8,94,793751297
24027,"74,810",8,9,16,22,23,7,9,130,797510013
24026,"460,501",1,18,21,26,33,2,12,37,855790631
24025,"71,434",1,2,8,18,27,4,8,161,803788991
24024,"92,413",3,5,12,17,26,1,12,131,755385807
24023,"103,144",8,10,12,14,22,5,9,120,732529068
24022,"51,763",7,9,11,31,32,4,8,169,722283851
24021,"117,627",1,12,16,20,28,7,9,101,717631060
24020,"84,829",2,4,8,19,26,2,6,135,878719861
24019,"80,002",19,20,26,29,30,3,4,130,871199741
24018,"117,921",4,12,19,25,27,1,9,119,900623260
24017,"181,062",3,7,25,27,35,1,4,105,914830111
24016,"168,713",15,18,25,27,29,6,11,89,836640938
24015,"73,321",8,11,14,24,31,5,6,149,832704686
24014,"128,779",4,5,16,21,31,9,11,108,899112802
24013,"126,216",5,22,25,28,30,3,12,88,867748199
24012,"311,796",21,22,25,26,34,1,9,57,906728562
24011,"233,964",1,3,27,32,34,1,7,53,826914379
24010,"80,040",2,8,10,15,27,2,8,115,823023678
24009,"119,214",15,18,19,24,26,5,9,129,855885855
24008,"84,867",4,6,11,20,30,3,5,136,813246230
24007,"61,218",4,5,28,34,35,4,11,174,831890343
24006,"140,208",8,13,16,17,33,2,10,90,881907619
24005,"25,139",3,5,7,9,12,5,8,310,891647288
24004,"45,844",2,6,18,19,27,8,9,193,966373900
24003,"59,738",7,9,12,23,29,1,2,195,1033378431
24002,"67,883",1,6,8,27,32,3,4,164,1075477263
24001,"120,804",3,9,17,26,35,2,7,102,1097128761
23150,"91,893",5,6,17,18,33,11,12,159,1123526131
23149,"130,109",1,16,17,21,29,1,6,95,1103823973
23148,"110,336",11,12,20,21,27,2,12,107,1124396080
23147,"162,352",6,7,19,33,34,3,8,72,1139271875
23146,"209,503",14,18,19,26,31,2,7,62,1149841281
23145,"157,236",6,10,12,32,33,6,7,87,1141903902
23144,"149,256",5,14,18,25,35,1,10,99,1134916198
23143,"149,042",9,20,23,29,33,2,10,94,1127826662
23142,"283,757",4,13,15,17,32,10,12,60,1083472753
23141,"185,420",4,22,25,30,31,4,5,81,1062646770
23140,"129,633",1,2,9,19,30,1,2,113,1043730972
23139,"270,955",15,16,25,31,34,5,9,59,1053823169
23138,"104,704",7,12,20,28,31,9,10,137,1063005170
23137,"205,975",4,19,21,30,31,6,12,79,1023516741
23136,"209,832",13,23,27,30,34,6,9,75,1020724605
23135,"147,931",5,18,22,28,29,9,12,104,1004596055
23134,"259,476",10,15,22,27,33,1,12,70,1094743541
23133,"61,063",10,18,25,28,33,5,11,164,1062683066
23132,"193,088",3,4,12,15,23,2,6,88,1084953129
23131,"83,937",3,7,21,22,24,6,7,157,1049374831
23130,"163,618",13,20,27,29,30,1,7,90,1023653096
23129,"157,984",9,23,25,27,33,6,12,101,996449656
23128,"152,691",1,5,7,12,13,2,6,100,951297118
23127,"109,972",4,7,8,18,19,2,6,126,926105316
23126,"177,906",7,12,17,26,34,2,6,101,901877084
23125,"229,717",7,25,26,29,32,2,8,67,942573827
23124,"51,836",6,18,23,27,32,6,10,185,891019556
23123,"102,753",2,14,16,28,30,2,7,128,865257536
23122,"86,604",1,7,9,25,29,10,12,148,852345166
23121,"147,219",5,11,15,23,33,1,9,94,828549499
23120,"148,794",2,8,16,31,34,1,10,130,864940795
23119,"126,259",4,8,10,14,21,4,10,106,812121301
23118,"91,286",6,7,13,25,33,5,8,102,800852861
23117,"134,577",5,7,15,18,20,3,4,110,833842004
23116,"38,117",1,3,9,18,29,4,9,196,814561510
23115,"57,512",7,10,23,31,34,2,10,177,840443521
23114,"339,994",2,25,27,30,35,1,10,58,877911008
23113,"83,572",6,8,30,32,33,3,10,143,824494856
23112,"138,141",1,11,17,22,27,2,9,98,843710765
23111,"76,073",3,12,15,28,35,2,12,168,826081056
23110,"105,043",4,9,11,13,17,7,8,136,799033238
23109,"137,876",1,12,21,22,31,2,9,106,769146801
23108,"88,715",5,6,17,30,32,2,8,135,734949392
23107,"208,139",1,12,15,16,18,3,10,80,728703279
23106,"346,897",16,24,26,28,31,1,6,44,663727794
23105,"66,865",7,8,19,20,25,2,11,176,594852807
23104,"112,368",6,15,16,32,33,8,10,133,772096222
23103,"40,103",8,11,19,31,32,8,11,237,920553793
23102,"201,538",2,4,7,16,33,7,11,69,943721192
23101,"142,203",6,14,16,17,28,7,10,94,893838614
23100,"283,431",4,6,13,19,35,9,11,54,888328938
23099,"44,674",9,11,13,22,23,6,7,176,830398089
23098,"192,083",2,7,15,30,34,5,9,75,933433567
23097,"137,779",6,7,18,20,22,3,9,85,958839854
23096,"164,626",6,7,14,21,31,3,10,89,966376074
23095,"179,885",8,19,28,32,34,3,7,75,915556976
23094,"135,725",12,19,22,28,32,8,12,102,867355969
23093,"163,503",11,14,17,19,21,1,5,81,816338505
23092,"124,472",3,16,21,26,32,3,12,126,795974256
23091,"65,846",6,16,18,28,29,7,11,164,755893826
23090,"53,508",8,11,12,19,35,11,12,199,762647025
23089,"163,975",3,12,20,26,35,2,12,90,904845174
23088,"176,397",8,14,16,22,24,9,12,79,871592817
23087,"101,954",3,4,16,19,24,4,5,114,895827940
23086,"313,987",3,11,15,20,35,7,11,54,864979868
23085,"165,469",11,12,26,31,35,5,7,72,862163415
23084,"100,937",3,5,8,24,32,7,8,111,809598279
23083,"227,041",13,15,21,25,32,9,10,71,790074141
23082,"53,347",2,8,9,15,20,3,9,167,827085116
23081,"79,676",5,6,23,28,35,7,10,140,841378608
23080,"113,278",1,2,9,16,30,1,11,130,899395410
23079,"180,335",6,8,26,29,34,5,8,72,860725831
23078,"87,196",2,3,6,26,27,7,8,124,846788540
23077,"113,314",5,16,18,26,35,3,6,108,880499424
23076,"132,704",8,9,11,26,34,2,7,100,948501277
23075,"57,997",7,17,20,23,32,5,11,172,917148171
23074,"183,380",3,13,22,29,34,2,9,85,959326220
23073,"77,162",15,25,28,30,35,8,10,151,940619193
23072,"103,431",5,6,9,11,14,2,4,123,932426488
23071,"72,403",2,11,12,32,34,10,12,194,901185515
23070,"134,258",10,26,29,32,33,3,11,101,896500868
23069,"97,277",8,20,21,25,32,5,7,134,908523228
23068,"193,650",21,22,24,27,31,7,8,76,874858099
23067,"67,865",2,28,30,33,35,2,10,173,877298737
23066,"183,571",6,11,13,30,32,1,3,93,846071268
23065,"76,578",8,14,16,21,25,3,12,223,807401652
23064,"46,580",2,6,9,31,32,3,7,201,747516040
23063,"129,591",4,18,29,31,34,6,9,91,758945368
23062,"97,706",6,8,22,24,30,1,8,146,758202286
23061,"193,702",7,11,21,30,32,5,7,76,750108293
23060,"22,911",2,7,19,24,30,9,12,307,688684878
23059,"55,788",9,13,23,25,28,4,7,198,812443525
23058,"163,975",19,22,29,32,35,5,8,93,872966225
23057,"165,577",1,5,6,19,24,5,11,92,903873950
23056,"346,987",13,22,24,33,34,1,2,60,920035696
23055,"103,286",6,8,12,13,15,1,6,138,856791469
23054,"82,842",19,25,30,31,34,7,9,197,874577474
23053,"179,003",1,3,11,14,20,2,11,90,892267764
23052,"157,172",2,8,11,30,33,5,8,82,854240159
23051,"20,000",3,11,19,29,33,3,12,1228,859364126
23050,"111,057",8,9,14,25,29,4,6,124,1005750816
23049,"113,704",3,17,22,26,28,7,12,99,997411126
23048,"228,710",7,13,16,25,32,9,11,68,994472934
23047,"174,412",10,12,13,24,25,11,12,95,952628083
23046,"414,384",13,21,25,28,32,2,10,43,948200742
23045,"68,608",7,10,13,28,31,4,5,170,855642317
23044,"98,608",2,6,7,8,15,7,10,140,868495061
23043,"129,148",2,4,17,20,27,1,8,126,853496452
23042,"177,996",2,16,21,23,27,1,8,90,828299304
23041,"88,299",5,8,13,26,35,5,9,167,794168912
23040,"163,388",4,5,18,22,30,5,12,101,827601740
23039,"231,241",2,24,26,30,34,6,7,74,869785637
23038,"87,329",4,10,18,27,32,10,12,158,806289674
23037,"90,445",6,8,16,20,24,7,8,136,768030436
23036,"20,000",1,13,22,26,31,2,10,503,752208151
23035,"47,702",7,14,23,25,29,2,11,238,790017645
23034,"108,314",7,9,10,15,24,4,12,110,803285353
23033,"128,909",4,6,10,11,25,7,9,94,787964750
23032,"73,933",5,6,18,28,30,2,7,133,771590190
23031,"84,608",5,7,8,16,25,3,11,146,861440447
23030,"166,908",6,11,12,20,35,5,12,82,880358984
23029,"179,115",7,25,27,34,35,9,11,79,873738106
23028,"299,559",1,3,29,30,34,4,12,52,807820511
23027,"75,900",9,10,12,15,23,3,6,125,734749841
23026,"199,360",2,13,24,27,30,1,6,90,733932865
23025,"136,852",3,9,27,30,31,11,12,105,667313213
23024,"135,800",11,15,24,27,30,1,10,111,662152862
23023,"362,879",9,21,23,25,33,3,10,47,641960896
23022,"54,181",7,11,15,26,28,8,10,224,656985939
23021,"38,095",2,9,18,23,27,3,5,264,648618913
23020,"25,125",5,6,23,25,28,6,9,272,648355013
23019,"73,156",5,8,9,11,15,6,8,131,706197257
23018,"87,105",4,8,17,26,30,3,11,152,732297154
23017,"143,902",2,5,9,22,27,10,11,101,709369027
23016,"134,111",2,4,12,31,32,7,11,85,929208065
23015,"194,129",8,16,24,25,34,8,12,70,1006012729
23014,"85,206",3,8,18,22,24,1,9,156,1037380726
23013,"163,041",1,2,9,23,25,2,6,89,1040036602
23012,"77,035",7,16,17,18,28,2,3,136,1048716294
23011,"79,540",2,7,8,17,25,1,3,155,1156695739
23010,"20,484",5,6,13,23,26,1,6,377,1144740863
23009,"167,200",1,5,11,15,33,1,10,89,1167513305
23008,"37,136",4,9,17,22,25,1,5,243,1153640353
23007,"338,929",2,3,24,30,32,1,6,48,1214621617
23006,"93,427",2,4,12,27,35,6,7,123,1166367355
23005,"83,679",1,3,10,20,29,6,11,113,1150759496
23004,"100,245",4,13,15,20,22,4,8,106,1157028436
23003,"131,395",5,6,14,21,22,2,9,96,1140824558
23002,"282,518",11,14,21,26,27,2,7,48,1153840957
23001,"191,196",18,19,24,27,34,11,12,64,1124542797
22150,"105,068",6,7,26,29,30,3,12,117,1071397016
22149,"220,095",15,19,22,26,28,2,7,46,1073084050
22148,"55,924",4,5,6,26,27,7,12,138,1098940648
22147,"119,521",4,12,22,28,30,9,11,95,1126392172
22146,"425,529",1,21,23,28,35,7,9,29,1091896946
22145,"54,684",10,20,29,30,35,6,9,141,1054075163
22144,"87,397",3,4,8,15,21,4,7,111,1077698267
22143,"87,291",10,13,14,27,33,7,8,121,1091325801
22142,"149,783",7,12,14,29,35,1,11,83,1078507658
22141,"116,962",5,6,14,24,25,2,4,114,1047136066
22140,"119,164",5,15,25,26,29,4,12,111,984601778
22139,"161,085",1,13,14,22,35,2,5,85,1016097851
22138,"164,786",5,13,16,27,33,7,12,76,983440468
22137,"50,059",5,6,8,15,20,7,8,135,1041138783
22136,"248,618",1,11,15,17,33,3,11,47,1089020630
22135,"310,719",9,10,27,31,32,1,3,47,1072783225
22134,"67,295",3,16,23,27,32,3,6,131,1082667691
22133,"189,237",1,2,14,30,31,6,9,74,1126501375
22132,"210,404",2,27,30,34,35,9,12,78,1087727608
22131,"68,297",2,6,8,10,17,5,6,130,1023428077
22130,"96,255",5,7,15,18,23,5,10,116,1072190624
22129,"234,563",10,17,23,34,35,1,4,73,1037498580
22128,"267,208",10,19,21,23,35,4,10,59,971487159
22127,"104,450",2,3,8,9,20,4,10,111,898918318
22126,"124,630",4,5,8,22,35,1,3,108,858035622
22125,"185,273",3,7,14,16,19,1,11,59,847578280
22124,"184,091",2,4,11,25,30,6,12,81,829363342
22123,"146,975",2,20,28,29,30,7,10,84,807264782
22122,"152,034",4,15,17,19,25,6,12,78,833361576
22121,"75,311",4,15,16,20,21,4,5,157,808811732
22120,"104,891",11,22,26,30,33,3,5,128,785438059
22119,"27,731",1,9,16,25,29,4,9,187,935330701
22118,"168,497",2,5,15,17,26,2,8,79,980149420
22117,"133,836",9,12,15,21,32,2,7,100,943874219
22116,"133,489",1,7,20,22,31,7,12,93,903895960
22115,"129,865",17,19,20,23,27,3,8,73,876900513
22114,"79,680",11,21,24,27,28,5,10,146,850606831
